camera_model,generation,price,region,date,title,link
Z8,1.0,86500,桃園市,2025-10-12,售 Nikon Z8 單機身｜國祥公司貨｜保固至2027/07/06｜近全新｜限雙北桃竹面交,http://market.dcview.com/post/499628
Z6,1.0,26000,新北市,2025-10-11,尼康 Nikon Z6 近全新公司貨,http://market.dcview.com/post/499591
D810,1.0,25000,新北市,2025-10-11,尼康 Nikon D810 近全新,http://market.dcview.com/post/499587
Z7,2.0,46000,台南市,2025-10-10,NIKON Z7II 公司過保,http://market.dcview.com/post/499504
ZF,1.0,41000,台北市,2025-10-10,Nikon Zf 公司貨,http://market.dcview.com/post/499420
Z6,3.0,55000,台南市,2025-10-08,Nikon Z6 III Body〔單機身〕公司貨/Nikon Z6III,http://market.dcview.com/post/499245
Z5,1.0,15000,新竹市,2025-10-05,NIKON Z5 單機身,http://market.dcview.com/post/498984
Z6,3.0,58000,新北市,2025-10-04,Nikon Z63 Z6III 單機身 公司貨 保固中,http://market.dcview.com/post/498935
Z50,2.0,21000,桃園市,2025-10-03,Nikon Z50 II 2代 單機身 (國祥公司貨) 保固內,http://market.dcview.com/post/498831
Z6,3.0,55000,台南市,2025-10-03,Nikon Z6 III Body〔單機身〕公司貨/Nikon Z6III,http://market.dcview.com/post/498830
Z6,3.0,63000,台北市,2025-10-02,Nikon Z6III Z63 無反光鏡相機 公司貨 全新未拆 保固中,http://market.dcview.com/post/498741
ZF,1.0,36000,新北市,2025-10-02,NIKON ZF 黑機,http://market.dcview.com/post/498694
Z6,3.0,56000,台南市,2025-10-01,Nikon Z6 III Body〔單機身〕公司貨/Nikon Z6III,http://market.dcview.com/post/498651
D5,1.0,55000,新北市,2025-09-30,Nikon D5 過保公司貨,http://market.dcview.com/post/498565
Z6,3.0,60000,新北市,2025-09-28,Nikon Z63 Z6III 單機身 公司貨,http://market.dcview.com/post/498348
D850,1.0,32000,彰化縣,2025-09-28,售Nikon D850,http://market.dcview.com/post/498312
Z6,3.0,49500,新北市,2025-09-28,Nikon Z63 z6iii 單機身 平輸 快門6xx,http://market.dcview.com/post/498311
Z5,1.0,18000,台中市,2025-09-27,Nikon Z5,http://market.dcview.com/post/498214
Z6,1.0,20500,台中市,2025-09-26,Nikon Z6 公司貨,http://market.dcview.com/post/498158
Z8,1.0,73500,台北市,2025-09-25,Nikon Z8 單機身,http://market.dcview.com/post/498023
Z50,2.0,21500,桃園市,2025-09-25,Nikon Z50 II 2代 單機身 (國祥公司貨) 保固內,http://market.dcview.com/post/497999
Z6,3.0,57000,台南市,2025-09-25,Nikon Z6 III Body〔單機身〕公司貨/Nikon Z6III,http://market.dcview.com/post/497963
Z9,1.0,86000,台北市,2025-09-25,Z9,http://market.dcview.com/post/497934
D5,1.0,55000,新北市,2025-09-24,Nikon D5 公司貨,http://market.dcview.com/post/497788
Z6,3.0,58000,台南市,2025-09-23,Nikon Z6 III Body〔單機身〕公司貨/Nikon Z6III,http://market.dcview.com/post/497705
Z5,1.0,20000,台南市,2025-09-23,Nikon Z5 單機身 平輸,http://market.dcview.com/post/497698
Z8,1.0,75000,台北市,2025-09-21,Nikon Z8 單機身 保內公司貨,http://market.dcview.com/post/497473
Z6,3.0,64500,台北市,2025-09-18,Nikon Z6III Z63 無反光鏡相機 公司貨 全新未拆 保固中,http://market.dcview.com/post/497169
Z7,2.0,49000,台南市,2025-09-16,NIKON Z7II 公司過保,http://market.dcview.com/post/496865
Z6,1.0,20000,彰化縣,2025-09-15,nikon Z6 快門41XXX 公司貨,http://market.dcview.com/post/496802
Z6,3.0,53000,台中市,2025-09-15,Nikon Z6iii 單機身 國祥公司貨 保固內,http://market.dcview.com/post/496779
Z8,1.0,75000,台北市,2025-09-13,Nikon Z8 單機身 保內公司貨,http://market.dcview.com/post/496644
Z8,1.0,72000,高雄市,2025-09-12,Z8,http://market.dcview.com/post/496585
Z6,3.0,54000,台中市,2025-09-12,Nikon Z6iii 單機身 國祥公司貨,http://market.dcview.com/post/496583
ZF,1.0,38000,台南市,2025-09-12,售Nikon ZF 單機身 少用極新 保固內,http://market.dcview.com/post/496582
Z8,1.0,81000,台北市,2025-09-12,Nikon Z8 單機身公司貨，快門1428，保固至2026/12,http://market.dcview.com/post/496552
Z8,1.0,73000,台北市,2025-09-11,Z8,http://market.dcview.com/post/496371
Z8,1.0,81000,台北市,2025-09-10,Nikon Z8 單機身公司貨，快門1428，保固至2026/12,http://market.dcview.com/post/496319
Z6,2.0,28000,新竹市,2025-09-10,nikon z6ii 公司貨,http://market.dcview.com/post/496286
ZF,1.0,39000,台南市,2025-09-10,［售］Nikon ZF 單機身 保固中,http://market.dcview.com/post/496273
Z8,1.0,73000,高雄市,2025-09-09,Z8,http://market.dcview.com/post/496148
Z8,1.0,83000,台北市,2025-09-08,Nikon Z8 單機身 公司貨 保固到2026/12,http://market.dcview.com/post/496035
Z8,1.0,75000,高雄市,2025-09-08,Z8,http://market.dcview.com/post/496024
Z6,2.0,32500,台中市,2025-09-07,Nikon Z6ii,http://market.dcview.com/post/495957
Z5,1.0,19200,新北市,2025-09-06,Nikon Z5 單機身 平輸,http://market.dcview.com/post/495825
Z6,3.0,56000,新北市,2025-09-05,Nikon Z6iii 單機身 國祥公司貨,http://market.dcview.com/post/495720
Z8,1.0,78000,台北市,2025-09-04,Nikon Z8 單機身 保內公司貨,http://market.dcview.com/post/495669
D5,1.0,49000,新竹市,2025-09-03,D5 XQD 版本 快門1萬8,http://market.dcview.com/post/495494
D6,1.0,95000,桃園市,2025-09-02,Nikon D6,http://market.dcview.com/post/495458
Z8,1.0,80000,台南市,2025-09-02,售 二手近全新 Nikon Z8 單眼相機(台灣公司貨),http://market.dcview.com/post/495429
Z6,3.0,66000,台北市,2025-09-02,Nikon Z6III Z63 無反光鏡相機 公司貨 全新未拆 保固中,http://market.dcview.com/post/495411
Z6,2.0,28000,桃園市,2025-09-01,nikon Z6ii 公司貨 過保,http://market.dcview.com/post/495297
Z6,3.0,58000,新北市,2025-08-31,Nikon Z6iii 單機身 國祥公司貨,http://market.dcview.com/post/495183
Z6,3.0,59000,新北市,2025-08-29,Nikon Z6iii 單機身 國祥公司貨,http://market.dcview.com/post/494950
Z50,2.0,22500,桃園市,2025-08-28,Nikon Z50 II 2代 單機身 (國祥公司貨) 保固內,http://market.dcview.com/post/494817
Z6,1.0,64000,新北市,2025-08-28,Z6 lll 單機身 公司貨 雙原電 保固2年,http://market.dcview.com/post/494745
Z6,2.0,30000,桃園市,2025-08-28,nikon Z6ii 公司貨 過保,http://market.dcview.com/post/494730
Z8,1.0,84500,新北市,2025-08-27,Nikon Z8 單機身 公司貨 保固內 快門541,http://market.dcview.com/post/494684
Z6,3.0,62000,新北市,2025-08-27,Nikon Z6iii 單機身 國祥公司貨,http://market.dcview.com/post/494632
Z7,2.0,41000,桃園市,2025-08-26,Z7ii,http://market.dcview.com/post/494541
Z5,1.0,16000,新竹市,2025-08-26,NIKON Z5 單機身 平輸 盒裝 快門一萬多 全片幅微單眼相機,http://market.dcview.com/post/494535
Z9,1.0,95000,台南市,2025-08-23,【NIKON】Z9 單機身 全片幅無反相機 (公司貨),http://market.dcview.com/post/494266
Z6,2.0,32000,台北市,2025-08-23,Nikon Z6 II 單機身 公司貨,http://market.dcview.com/post/494225
Z6,3.0,67500,台北市,2025-08-21,Nikon Z6III Z63 無反光鏡相機 公司貨 全新未拆 保固中,http://market.dcview.com/post/494099
Z50,2.0,23500,桃園市,2025-08-21,Nikon Z50 II 2代 單機身 (國祥公司貨) 保固內,http://market.dcview.com/post/494046
Z8,1.0,78000,台北市,2025-08-20,Nikon Z8 單機身 保內公司貨,http://market.dcview.com/post/494018
D850,1.0,14000,桃園市,2025-08-19,尼康 NIKON D750 全片幅單眼相機 (D500 D600 D610D760 D800 D810 D850),http://market.dcview.com/post/493830
ZF,1.0,45500,高雄市,2025-08-16,Nikon ZF BODY 單機身 公司貨,http://market.dcview.com/post/493504
Z6,2.0,34000,新竹市,2025-08-15,Z6 II 相機王水貨,http://market.dcview.com/post/493326
Z5,1.0,18000,台中市,2025-08-15,［售］Nikon z5 單機身公司貨,http://market.dcview.com/post/493288
Z6,2.0,30000,新竹市,2025-08-12,nikon z6ii,http://market.dcview.com/post/493025
ZF,1.0,45000,彰化縣,2025-08-12,Nikon ZF 單機身 零快門 未註冊 國祥公司貨,http://market.dcview.com/post/492968
Z7,1.0,32000,新北市,2025-08-11,NIKON Z7 公司貨,http://market.dcview.com/post/492904
Z5,1.0,20000,台中市,2025-08-08,［售］Nikon z5 平輸,http://market.dcview.com/post/492578
Z7,1.0,34000,台南市,2025-08-08,Nikon Z7 公司貨,http://market.dcview.com/post/492563
ZF,1.0,42000,台北市,2025-08-08,Nikon ZF 單機身 低快門 公司貨保固中 到26年9月中,http://market.dcview.com/post/492511
Z8,1.0,80000,台北市,2025-08-08,Nikon Z8 單機身 保內公司貨,http://market.dcview.com/post/492479
D500,1.0,18000,台中市,2025-08-07,Nikon D500 平輸 109.6.5有盒卡 無摔無碰功能正常,http://market.dcview.com/post/492448
Z5,2.0,46000,新北市,2025-08-06,Z5ii 二代,http://market.dcview.com/post/492344
ZF,1.0,43000,台中市,2025-08-05,Nikon ZF 公司貨 保內,http://market.dcview.com/post/492281
Z5,2.0,48000,台中市,2025-08-04,【Nikon 尼康】Z5 II 二代 BODY 單機身 全片幅 微單眼相機(國祥公司貨 二年保固),http://market.dcview.com/post/492149
Z8,1.0,80000,台北市,2025-08-03,Nikon Z8 單機身 保內公司貨,http://market.dcview.com/post/492096
ZF,1.0,42000,台北市,2025-08-03,Nikon ZF 公司貨 (保內),http://market.dcview.com/post/492018
Z5,2.0,46000,新北市,2025-08-02,Nikon z5ii 二代,http://market.dcview.com/post/491945
Z7,1.0,34000,台南市,2025-08-02,Nikon Z7 公司貨,http://market.dcview.com/post/491940
Z50,1.0,11000,高雄市,2025-08-01,Z50 1.8,http://market.dcview.com/post/491806
Z5,2.0,48000,新北市,2025-08-01,Nikon z5ii,http://market.dcview.com/post/491784
Z8,1.0,80000,台北市,2025-07-29,Nikon Z8 單機身 保內公司貨,http://market.dcview.com/post/491531
Z7,1.0,34000,台南市,2025-07-29,Nikon Z7 公司貨,http://market.dcview.com/post/491463
ZF,1.0,43000,台北市,2025-07-27,Nikon ZF 單機身 1182低快門 公司貨保固中 到26年9月中,http://market.dcview.com/post/491232
Z8,1.0,80000,台北市,2025-07-26,Nikon Z8 單機身 保內公司貨,http://market.dcview.com/post/491113
Z5,1.0,18000,新竹縣,2025-07-24,售 Nikon Z5,http://market.dcview.com/post/490951
ZF,1.0,40000,桃園市,2025-07-24,Nikon ZF 公司貨,http://market.dcview.com/post/490911
ZF,1.0,41000,桃園市,2025-07-24,Nikon ZF 全片幅相機 國祥公司貨,http://market.dcview.com/post/490900
Z7,1.0,34000,台南市,2025-07-23,Nikon Z7 公司貨,http://market.dcview.com/post/490799
Z9,1.0,95000,新竹縣,2025-07-22,NIKON Z9,http://market.dcview.com/post/490616
Z8,1.0,80000,台北市,2025-07-21,Nikon Z8 單機身 保內公司貨,http://market.dcview.com/post/490479
Z6,1.0,19500,桃園市,2025-07-20,NIKON Z6 數位單眼相機 單機身,http://market.dcview.com/post/490315
Z6,2.0,37000,新竹市,2025-07-19,NIKON Z6II 快門9XX 公司貨 Z62,http://market.dcview.com/post/490220
ZF,1.0,42000,桃園市,2025-07-18,Nikon ZF 全片幅相機 國祥公司貨,http://market.dcview.com/post/490119
ZF,1.0,42800,台北市,2025-07-17,Nikon ZF 單機身 原廠公司貨(已過保),http://market.dcview.com/post/490019
Z6,3.0,52000,新北市,2025-07-17,Z6 iii 三代,http://market.dcview.com/post/489977
Z6,2.0,34000,新竹市,2025-07-14,Z6 II 相機王水貨,http://market.dcview.com/post/489581
Z8,1.0,80000,台北市,2025-07-12,Nikon Z8 單機身 保內公司貨,http://market.dcview.com/post/489403
ZF,1.0,40000,新北市,2025-07-11,Nikon ZF 單機身,http://market.dcview.com/post/489288
ZF,1.0,40000,新北市,2025-07-10,Nikon ZF 機身,http://market.dcview.com/post/489263
D850,1.0,40000,台北市,2025-07-10,『澄橘』Nikon D850 Body 機身 二手 快門94xx《歡迎舊機折抵 提供相機租借服務》A77427,http://market.dcview.com/post/489231
Z8,1.0,80000,台北市,2025-07-09,Nikon Z8 單機身 保內公司貨,http://market.dcview.com/post/489088
Z9,1.0,99000,新北市,2025-07-07,【售】NIKON Z9 平輸 幾乎全新,http://market.dcview.com/post/488851
Z6,3.0,54000,新北市,2025-07-07,NIKON Z6III 水貨保內,http://market.dcview.com/post/488805
Z50,2.0,25000,新北市,2025-07-07,z50 ii 二代,http://market.dcview.com/post/488715
D500,1.0,22000,桃園市,2025-07-06,NIKON D500 單機身,http://market.dcview.com/post/488673
Z7,1.0,33000,新北市,2025-07-06,NIKON Z7 公司貨,http://market.dcview.com/post/488623
D5,1.0,40000,新竹市,2025-07-06,D5,http://market.dcview.com/post/488622
Z5,1.0,19000,台中市,2025-07-05,Nikon Z5,http://market.dcview.com/post/488551
Z5,1.0,20000,新竹縣,2025-07-04,NIKON Z5,http://market.dcview.com/post/488352
Z5,2.0,47000,台北市,2025-07-02,Nikon Z5ii Z5II 單機身,http://market.dcview.com/post/488045
D5,1.0,45000,台北市,2025-07-02,D5 XQD 公司貨,http://market.dcview.com/post/488026
Z50,2.0,26000,新北市,2025-07-02,z50 ii 二代,http://market.dcview.com/post/488015
Z6,3.0,63000,新北市,2025-07-01,Nikon Z6III｜Z63｜公司貨保固內,http://market.dcview.com/post/487901
Z6,1.0,30000,桃園市,2025-06-30,Z6 二代 z85f1.8s,http://market.dcview.com/post/487815
Z6,3.0,63000,新北市,2025-06-29,Nikon Z6III / Z63｜公司貨保固內,http://market.dcview.com/post/487614
Z6,3.0,65000,新北市,2025-06-28,Nikon Z6III / Z63｜公司貨保固內,http://market.dcview.com/post/487555
Z7,2.0,46000,台中市,2025-06-27,Nikon Z7ii 公司貨,http://market.dcview.com/post/487449
Z6,2.0,34000,新北市,2025-06-24,Nikon Z6 ii 相機 保內公司貨,http://market.dcview.com/post/487105
ZF,1.0,43000,桃園市,2025-06-24,Nikon ZF 全片幅相機 國祥公司貨,http://market.dcview.com/post/487052
D5,1.0,40000,新竹市,2025-06-24,Nikon D5,http://market.dcview.com/post/486993
Z8,1.0,78000,高雄市,2025-06-23,Nikon 尼康 Z8 單機身 --公司貨,http://market.dcview.com/post/486924
Z30,1.0,13500,新北市,2025-06-21,Nikon Z30 公司貨 保固內,http://market.dcview.com/post/486798
Z8,1.0,78000,台南市,2025-06-21,Nikon 尼康 Z8 單機身 --公司貨,http://market.dcview.com/post/486797
Z6,1.0,22500,台北市,2025-06-20,Nikon Z6 全幅無反相機 單機身 快門數22477 公司貨,http://market.dcview.com/post/486633
D810,1.0,19000,桃園市,2025-06-20,Nikon D810 機身＋MB-D12 垂直手把（不拆售）,http://market.dcview.com/post/486586
ZF,1.0,44000,桃園市,2025-06-19,Nikon ZF 全片幅相機 國祥公司貨,http://market.dcview.com/post/486487
Z6,2.0,28000,新北市,2025-06-18,NIKON Z6II Z62 公司貨 單機身,http://market.dcview.com/post/486420
Z6,2.0,36000,彰化縣,2025-06-18,售NIKON Z6ii 機身,http://market.dcview.com/post/486305
Z6,2.0,34000,桃園市,2025-06-16,Nikon Z6II 公司貨 已過保 快門15xxx,http://market.dcview.com/post/486168
Z5,2.0,50000,台中市,2025-06-16,Nikon Z5II Body - 單機身 (全新未拆-公司貨),http://market.dcview.com/post/486081
ZF,1.0,45000,桃園市,2025-06-16,Nikon ZF 全片幅相機 國祥公司貨,http://market.dcview.com/post/486080
Z5,2.0,50000,台中市,2025-06-12,Nikon Z5II Body - 全新未拆單機身 (國祥公司貨),http://market.dcview.com/post/485715
Z6,2.0,32000,新北市,2025-06-12,NIKON Z6II 公司貨,http://market.dcview.com/post/485609
D500,1.0,25000,台南市,2025-06-11,nikon d500 快門七千多國祥公司貨幾乎全新,http://market.dcview.com/post/485469
Z8,1.0,83000,新北市,2025-06-08,Nikon Z8 公司貨 保固內 快門：5xxx,http://market.dcview.com/post/485188
Z8,1.0,74000,桃園市,2025-06-08,Nikon Z8,http://market.dcview.com/post/485121
ZF,1.0,47000,新北市,2025-06-06,Nikon Zf 單機身保內公司貨（含副廠手把 YUWOOD 紫光檀、全新OWC SD V60 128G、全新創見 microSD 256G）,http://market.dcview.com/post/484973
Z5,1.0,21500,新北市,2025-06-06,Nikon Z5 機身 平輸,http://market.dcview.com/post/484944
D780,1.0,20000,台中市,2025-06-06,D780 整套出清,http://market.dcview.com/post/484931
ZF,1.0,47000,新北市,2025-06-05,Nikon Zf 單機身保內公司貨（含副廠手把YUWOOD 紫光檀、microSD 256G）,http://market.dcview.com/post/484832
ZF,1.0,47000,新竹市,2025-06-05,NIKON ZF 國祥公司貨過保,http://market.dcview.com/post/484783
Z6,2.0,37000,新竹市,2025-06-04,NIKON Z6II 公司貨 快門1XXX,http://market.dcview.com/post/484628
Z8,1.0,76000,新竹市,2025-06-04,Z8 公司貨 有受傷 快門一萬多 過保 非問題序號 $76000,http://market.dcview.com/post/484626
D850,1.0,35000,桃園市,2025-06-03,NIKON D850,http://market.dcview.com/post/484550
Z50,1.0,13000,桃園市,2025-06-02,Nikon Z50 單機身 國祥公司貨,http://market.dcview.com/post/484398
ZF,1.0,47000,桃園市,2025-06-01,NIKON ZF 單機,http://market.dcview.com/post/484277
Z8,1.0,80000,台中市,2025-05-31,Nikon Z8 公司貨保固內,http://market.dcview.com/post/484186
ZF,1.0,85000,高雄市,2025-05-30,Nikon zf/z28-400/z50f1.8,http://market.dcview.com/post/484127
Z6,3.0,52000,台南市,2025-05-30,NIKON Z6 III (水貨)單機身,http://market.dcview.com/post/484070
Z9,1.0,91000,台北市,2025-05-29,Nikon Z9 全幅無反相機 單機身 快門數10387,http://market.dcview.com/post/484017
Z9,1.0,95000,台北市,2025-05-29,售NIKON Z9,http://market.dcview.com/post/483942
D810,1.0,18000,新北市,2025-05-28,Nikon D810 公司貨,http://market.dcview.com/post/483878
Z6,3.0,52000,台南市,2025-05-28,NIKON Z6 III (水貨)單機身,http://market.dcview.com/post/483841
Z5,1.0,20000,新北市,2025-05-26,Nikon Z5 平輸,http://market.dcview.com/post/483648
Z6,1.0,22000,台北市,2025-05-25,Nikon Z6 單機身,http://market.dcview.com/post/483543
ZF,1.0,43000,新北市,2025-05-25,Nikon ZF,http://market.dcview.com/post/483486
D800,1.0,11000,新北市,2025-05-24,Nikon D800E 國祥公司貨,http://market.dcview.com/post/483355
D810,1.0,18000,桃園市,2025-05-24,NIKON D810 單機身,http://market.dcview.com/post/483348
Z6,2.0,37000,新竹市,2025-05-21,NIKON Z6II 公司貨 快門1XXX,http://market.dcview.com/post/483048
Z8,1.0,77000,新竹市,2025-05-21,Z8 公司貨 有受傷 快門一萬多 過保 非問題序號 $77000,http://market.dcview.com/post/483046
ZF,1.0,43500,台中市,2025-05-19,Nikon zf,http://market.dcview.com/post/482813
ZFC,1.0,19500,新北市,2025-05-19,Nikon ZFC 黑色 公司貨,http://market.dcview.com/post/482803
Z50,1.0,13500,桃園市,2025-05-18,Nikon Z50 單機身 國祥公司貨,http://market.dcview.com/post/482647
